condition,pct,seed,dataset,layer,n_ablated_per_layer,freq_auroc,freq_auroc_std,freq_accuracy
random,50.0,1,emotion,4,1024,0.9466918714555765,0.01504706899216064,0.8695652173913043
random,50.0,1,emotion,5,1024,0.9455576559546314,0.023652918441764918,0.8695652173913043
random,50.0,2,emotion,0,1024,0.9368620037807183,0.021205752230442607,0.8478260869565218
random,50.0,2,emotion,1,1024,0.9372400756143667,0.025625350779327864,0.8652173913043478
random,50.0,2,emotion,2,1024,0.9311909262759925,0.03271140778271946,0.8565217391304347
random,50.0,2,emotion,3,1024,0.9561436672967863,0.020338718572873782,0.8956521739130434
random,50.0,2,emotion,4,1024,0.9417769376181475,0.027508460890103937,0.8739130434782607
random,50.0,2,emotion,5,1024,0.9277882797731569,0.015560767960118462,0.843478260869565
clean,0.0,0,medical,0,0,0.9867768595041323,0.011210462782025284,0.9181818181818182
clean,0.0,0,medical,1,0,0.9867768595041323,0.009917355371900844,0.9
clean,0.0,0,medical,2,0,0.9570247933884298,0.021803150344252717,0.9
clean,0.0,0,medical,3,0,0.9586776859504132,0.030477832916670684,0.9090909090909092
clean,0.0,0,medical,4,0,0.8892561983471075,0.044536177141512284,0.8363636363636363
clean,0.0,0,medical,5,0,0.8925619834710744,0.03876376661011094,0.8
circuit,5.0,0,medical,0,102,0.9867768595041323,0.011210462782025284,0.9181818181818182
circuit,5.0,0,medical,1,102,0.9867768595041323,0.009917355371900844,0.9
circuit,5.0,0,medical,2,102,0.9570247933884298,0.021803150344252717,0.9
circuit,5.0,0,medical,3,102,0.9586776859504132,0.030477832916670684,0.9090909090909092
circuit,5.0,0,medical,4,102,0.9041322314049587,0.03790857831794944,0.8363636363636363
circuit,5.0,0,medical,5,102,0.8743801652892562,0.04969684753181126,0.8272727272727274
circuit,10.0,0,medical,0,204,0.9867768595041323,0.011210462782025284,0.9181818181818182
circuit,10.0,0,medical,1,204,0.9867768595041323,0.009917355371900844,0.9
circuit,10.0,0,medical,2,204,0.9570247933884298,0.021803150344252717,0.9
circuit,10.0,0,medical,3,204,0.9586776859504132,0.030477832916670684,0.9090909090909092
circuit,10.0,0,medical,4,204,0.9024793388429752,0.0319654208360557,0.8636363636363636
circuit,10.0,0,medical,5,204,0.8760330578512396,0.05094557027247086,0.7727272727272728
circuit,25.0,0,medical,0,512,0.9867768595041323,0.011210462782025284,0.9181818181818182
circuit,25.0,0,medical,1,512,0.9867768595041323,0.009917355371900844,0.9
circuit,25.0,0,medical,2,512,0.9570247933884298,0.021803150344252717,0.9
circuit,25.0,0,medical,3,512,0.9586776859504132,0.030477832916670684,0.9090909090909092
circuit,25.0,0,medical,4,512,0.912396694214876,0.019971976815858775,0.8636363636363636
circuit,25.0,0,medical,5,512,0.912396694214876,0.026957861868264644,0.8272727272727274
circuit,50.0,0,medical,0,1024,0.9867768595041323,0.011210462782025284,0.9181818181818182
circuit,50.0,0,medical,1,1024,0.9867768595041323,0.009917355371900844,0.9
circuit,50.0,0,medical,2,1024,0.9570247933884298,0.021803150344252717,0.9
circuit,50.0,0,medical,3,1024,0.9586776859504132,0.030477832916670684,0.9090909090909092
circuit,50.0,0,medical,4,1024,0.9421487603305785,0.030026284503446153,0.8636363636363636
circuit,50.0,0,medical,5,1024,0.9223140495867769,0.031621696644147095,0.8272727272727274
circuit_pos,5.0,0,medical,0,102,0.9867768595041323,0.011210462782025284,0.9181818181818182
circuit_pos,5.0,0,medical,1,102,0.9867768595041323,0.009917355371900844,0.9
circuit_pos,5.0,0,medical,2,102,0.9570247933884298,0.021803150344252717,0.9
circuit_pos,5.0,0,medical,3,102,0.9586776859504132,0.030477832916670684,0.9090909090909092
circuit_pos,5.0,0,medical,4,102,0.8561983471074381,0.03966942148760327,0.7818181818181819
circuit_pos,5.0,0,medical,5,102,0.7801652892561983,0.07549214708541643,0.7090909090909091
circuit_pos,10.0,0,medical,0,204,0.9867768595041323,0.011210462782025284,0.9181818181818182
circuit_pos,10.0,0,medical,1,204,0.9867768595041323,0.009917355371900844,0.9
circuit_pos,10.0,0,medical,2,204,0.9570247933884298,0.021803150344252717,0.9
circuit_pos,10.0,0,medical,3,204,0.9586776859504132,0.030477832916670684,0.9090909090909092
circuit_pos,10.0,0,medical,4,204,0.8347107438016529,0.06050580237263846,0.790909090909091
circuit_pos,10.0,0,medical,5,204,0.7289256198347107,0.0510527114429107,0.6909090909090908
circuit_pos,25.0,0,medical,0,512,0.9867768595041323,0.011210462782025284,0.9181818181818182
circuit_pos,25.0,0,medical,1,512,0.9867768595041323,0.009917355371900844,0.9
circuit_pos,25.0,0,medical,2,512,0.9570247933884298,0.021803150344252717,0.9
circuit_pos,25.0,0,medical,3,512,0.9586776859504132,0.030477832916670684,0.9090909090909092
circuit_pos,25.0,0,medical,4,512,0.859504132231405,0.04675086156605274,0.8
circuit_pos,25.0,0,medical,5,512,0.7603305785123967,0.08977504538181995,0.7181818181818181
circuit_pos,50.0,0,medical,0,1024,0.9867768595041323,0.011210462782025284,0.9181818181818182
circuit_pos,50.0,0,medical,1,1024,0.9867768595041323,0.009917355371900844,0.9
circuit_pos,50.0,0,medical,2,1024,0.9570247933884298,0.021803150344252717,0.9
circuit_pos,50.0,0,medical,3,1024,0.9586776859504132,0.030477832916670684,0.9090909090909092
circuit_pos,50.0,0,medical,4,1024,0.8330578512396695,0.06059604224734993,0.8090909090909092
circuit_pos,50.0,0,medical,5,1024,0.7801652892561983,0.09300366873808395,0.7
circuit_neg,5.0,0,medical,0,102,0.9867768595041323,0.011210462782025284,0.9181818181818182
circuit_neg,5.0,0,medical,1,102,0.9867768595041323,0.009917355371900844,0.9
circuit_neg,5.0,0,medical,2,102,0.9570247933884298,0.021803150344252717,0.9
circuit_neg,5.0,0,medical,3,102,0.9586776859504132,0.030477832916670684,0.9090909090909092
circuit_neg,5.0,0,medical,4,102,0.9504132231404959,0.03179402324243194,0.8545454545454545
circuit_neg,5.0,0,medical,5,102,0.9438016528925619,0.03673737317502955,0.8727272727272727
circuit_neg,10.0,0,medical,0,204,0.9867768595041323,0.011210462782025284,0.9181818181818182
circuit_neg,10.0,0,medical,1,204,0.9867768595041323,0.009917355371900844,0.9
circuit_neg,10.0,0,medical,2,204,0.9570247933884298,0.021803150344252717,0.9
circuit_neg,10.0,0,medical,3,204,0.9586776859504132,0.030477832916670684,0.9090909090909092
circuit_neg,10.0,0,medical,4,204,0.9570247933884298,0.022420925564050467,0.8727272727272727
circuit_neg,10.0,0,medical,5,204,0.9537190082644628,0.024848423765905632,0.8818181818181816
circuit_neg,25.0,0,medical,0,512,0.9867768595041323,0.011210462782025284,0.9181818181818182
circuit_neg,25.0,0,medical,1,512,0.9867768595041323,0.009917355371900844,0.9
circuit_neg,25.0,0,medical,2,512,0.9570247933884298,0.021803150344252717,0.9
circuit_neg,25.0,0,medical,3,512,0.9586776859504132,0.030477832916670684,0.9090909090909092
circuit_neg,25.0,0,medical,4,512,0.9636363636363636,0.025924606845220053,0.9
circuit_neg,25.0,0,medical,5,512,0.9553719008264462,0.021296030953264652,0.8727272727272727
circuit_neg,50.0,0,medical,0,1024,0.9867768595041323,0.011210462782025284,0.9181818181818182
circuit_neg,50.0,0,medical,1,1024,0.9867768595041323,0.009917355371900844,0.9
circuit_neg,50.0,0,medical,2,1024,0.9570247933884298,0.021803150344252717,0.9
circuit_neg,50.0,0,medical,3,1024,0.9586776859504132,0.030477832916670684,0.9090909090909092
circuit_neg,50.0,0,medical,4,1024,0.9537190082644628,0.02843743889931448,0.9
circuit_neg,50.0,0,medical,5,1024,0.9619834710743801,0.021928097787473726,0.9090909090909092
random,5.0,0,medical,0,102,0.9867768595041323,0.011210462782025284,0.9181818181818182
random,5.0,0,medical,1,102,0.9867768595041323,0.009917355371900844,0.9
random,5.0,0,medical,2,102,0.9570247933884298,0.021803150344252717,0.9
random,5.0,0,medical,3,102,0.9586776859504132,0.030477832916670684,0.9090909090909092
random,5.0,0,medical,4,102,0.8958677685950412,0.04835946723414142,0.8454545454545455
random,5.0,0,medical,5,102,0.8727272727272728,0.03790857831794943,0.7727272727272727
random,5.0,1,medical,0,102,0.9867768595041323,0.011210462782025284,0.9181818181818182
random,5.0,1,medical,1,102,0.9867768595041323,0.009917355371900844,0.9
random,5.0,1,medical,2,102,0.9570247933884298,0.021803150344252717,0.9
random,5.0,1,medical,3,102,0.9586776859504132,0.030477832916670684,0.9090909090909092
