high_freq_ngram,low_freq_ngram,frequency_ratio,log_ratio,category,jsd_layer_0,jsd_layer_1,jsd_layer_2,jsd_layer_3,jsd_layer_4,jsd_layer_5,jsd_layer_6,jsd_layer_7,jsd_layer_8,jsd_layer_9,jsd_layer_10,jsd_layer_11,jsd_layer_12,jsd_layer_13,jsd_layer_14,jsd_layer_15,jsd_layer_16,jsd_layer_17,jsd_layer_18,jsd_layer_19,jsd_layer_20,jsd_layer_21,jsd_layer_22,jsd_layer_23,jsd_layer_24,jsd_layer_25,jsd_layer_26,jsd_layer_27,jsd_layer_28,jsd_layer_29,jsd_layer_30,jsd_layer_31
evolution,phylogenesis,3935.42,3.595,biology,0.39073541944243717,0.4078870511635003,0.38629466940915963,0.34753725722539713,0.3608343431657696,0.3466366898056672,0.3598199385563474,0.375696818850538,0.38137058295748727,0.3771834042960468,0.3910154792884958,0.3837436504662471,0.3841832743456301,0.38954331924923935,0.38319142136267537,0.3842618413474467,0.3810499397885509,0.33933944449455256,0.33850430983996194,0.31185373666872934,0.2633753934633818,0.25261983290180867,0.24065941049810632,0.2439571778864411,0.23660657410947464,0.2588684579558277,0.2620186361776201,0.2525992282280104,0.25133791150851625,0.23052760415636575,0.2001329960652804,0.1523569509371703
biodiversity,biological diversity,25.63,1.409,ecology,0.3136937633348692,0.3838643211893885,0.32220322698954296,0.25885649103995323,0.2510094836205685,0.21127394201257838,0.18893587569899006,0.19278604319647571,0.19349894275725155,0.18655824072937693,0.18255415395434682,0.18632308949609483,0.17953096924318745,0.17866281180746524,0.16658779150861677,0.16481372064578215,0.14481679298512046,0.13296254495635743,0.13659262245625153,0.13220613146554117,0.1185658686080859,0.10029589638018413,0.10779734904401245,0.10339276153378485,0.10929698245191176,0.10791849350609704,0.11285584626626297,0.10980178187835499,0.11473864207007728,0.10937493162937387,0.08632891672660245,0.05848604130591949
force,mechanical force,1376.43,3.139,physics,0.23822813639775375,0.301852378901765,0.29985101875464665,0.28203358202635964,0.2908103420092567,0.281757442352776,0.2996065007660561,0.318228010097206,0.32845075074260294,0.33130694965212815,0.33508460064261136,0.3200712434860678,0.32987832775331927,0.33514386723615386,0.33263304609612515,0.32378201951791097,0.3141837847293134,0.2907652600705073,0.27493155560017807,0.27801036634871096,0.2620230664642953,0.2466448293295576,0.25106142385288843,0.25195464176702104,0.2619584734926721,0.26052019403385496,0.2658704656414981,0.2644031218399425,0.25788541772689316,0.23590862987047675,0.21215181010776835,0.17319196191090275
asteroid,minor planet,84.42,1.926,astronomy,0.3770535106287616,0.42938825533195757,0.40043834810381795,0.352788961778707,0.34235955429670206,0.3314711055975948,0.34418982919295005,0.3502446246003961,0.34469492076613817,0.34037221210001795,0.3439579758087693,0.34021219706436806,0.34562668463262,0.3448408498698501,0.3449368197653405,0.33651252005783805,0.33613203472836206,0.32107189877674225,0.3148770640341786,0.28966145962782275,0.26776803060945426,0.2486283179790716,0.2607377371376768,0.2689289115211776,0.2714898951194752,0.2680708336455918,0.278162445299115,0.28505162977893106,0.2950769218509773,0.29010578254872915,0.24391730489011904,0.18355264989248382
nerve,neural pathway,482.36,2.683,anatomy,0.40377715850539764,0.43284979547603786,0.4001440849305712,0.36333052233123925,0.3712433580797762,0.3722251836157511,0.384505781665292,0.39217754859920495,0.41291497498191454,0.4143078185022387,0.41954722035840764,0.42434954692867594,0.41921498675050073,0.4259488258358739,0.42459732638552217,0.4167900300936926,0.404676420627036,0.3840582674704833,0.3560061768671142,0.3406653858319879,0.32102918570065575,0.3131951123541617,0.3339330273976559,0.33368787912045567,0.3462899347250049,0.35713240317734907,0.3688238338627049,0.35840838140674525,0.3581736331719593,0.347652884196706,0.3038926149040853,0.2460984413216264
rock,geological formation,1411.21,3.15,earth_science,0.4148869888458074,0.43382420615970985,0.41771270276007944,0.3966003990020525,0.40493184418241357,0.41047945005369346,0.4124284999742789,0.42294524986537796,0.42736998867319176,0.44278095954969343,0.44267153010258287,0.4522926786635305,0.44832458243027373,0.44785529884685027,0.44668791594730195,0.43923833008970714,0.4265341913167354,0.4087458484809964,0.39260852975505245,0.4006918819299091,0.36176128329293217,0.35822815461988566,0.36975760820261355,0.38757182132588225,0.4033439118778771,0.4192804869501421,0.42157351794513453,0.4121149596070478,0.4095178303936339,0.39041139840819916,0.36017448771487487,0.29033170776649664
melting,liquefaction,18.83,1.275,chemistry,0.44139010264207224,0.4408466477129747,0.41453833637481796,0.3741585412594366,0.3815589520380066,0.39063170785885404,0.4158451367555644,0.4251109041298031,0.435891546414636,0.4462707649533744,0.44558115127147657,0.44368324053915215,0.4314548294783497,0.4311126367652399,0.4345381056200094,0.42997657069252126,0.41536795790072745,0.4029029289455969,0.36963482916322765,0.3434769537727671,0.3210735898286011,0.3389296029980019,0.3570585411038912,0.37657289520559667,0.3714305016752482,0.39311392189048877,0.3997782372174338,0.3863657743726181,0.36850559621914014,0.3518170680779125,0.30924696734302504,0.24477464071040006
moon,natural satellite,727.64,2.862,astronomy,0.4079855798936342,0.4213064193087892,0.4155832919854452,0.39344331582315206,0.40109950668712496,0.40251798285036244,0.4129342749047049,0.4166089528854944,0.41781001113660954,0.4147847996356519,0.4251286676905225,0.4267419577921414,0.42026011932779067,0.4177820842661727,0.4108386748342406,0.40672762028287507,0.3941388948851213,0.37741987031259433,0.36694627582585937,0.3584066509871659,0.335380792639838,0.3418278486729043,0.3636689474354455,0.37931269251298444,0.38405568112591193,0.40332204874854927,0.4181745284127295,0.3990683148509684,0.4118945105281248,0.38498680684090103,0.36104066928011996,0.29743252724915464
energy,kinetic energy,132.58,2.122,physics,0.22486553887841343,0.3249115503728528,0.34005714517728186,0.30342086893558423,0.29924687206018347,0.3007383961709878,0.3219032391028405,0.3239179019245833,0.3183309966011714,0.32824720437290295,0.33531561136890087,0.32398785290592835,0.33853979134077294,0.33787167878908186,0.3272913945087612,0.33352928764004686,0.30656190243495895,0.2953805145026567,0.2843867073755164,0.2696722202478779,0.25091876828645954,0.2390527230719307,0.2490354977662252,0.24774817554645504,0.2628431777898389,0.26939711851707066,0.27747056277611715,0.2659033685471218,0.2558773382002245,0.2465582696993688,0.21571512456265116,0.18852708164935117
blood,circulatory fluid,111994.85,5.049,anatomy,0.4155529460673413,0.41825833296831183,0.4113865946394062,0.3820512998869784,0.392860324676859,0.37658352069995715,0.3984605943632448,0.42177498140844377,0.41875390142240027,0.4237837529456104,0.42656065206174315,0.4344751624282912,0.43085825284866497,0.43980535000972065,0.434336187980116,0.42176714908531043,0.4108818835514022,0.4001135940738896,0.3771200882070986,0.3669704397692284,0.3322011738132024,0.3425358811579632,0.3691900226679432,0.3728730003544516,0.38080371330655116,0.3941350677550798,0.3961675115253977,0.3979090799942827,0.4052213713995212,0.369898141065399,0.35040658743045244,0.29775575689051037
light,electromagnetic radiation,733.86,2.866,physics,0.4099460125064881,0.4122168689726933,0.4229332784527328,0.393888289753078,0.399124154230747,0.4093873287289624,0.40711472079318317,0.4244999544642353,0.43219831625342137,0.4275388101357067,0.4334161344817171,0.4383374626944739,0.44337230164765185,0.43742021801690073,0.43581810083723216,0.427763311035913,0.42361537768918617,0.3999159025547228,0.3940350236396349,0.37988600950831464,0.3536370771782421,0.35741813103615366,0.38808444960009325,0.38507113698004003,0.3887845001494325,0.41487329992733535,0.42015490095527,0.42930642616067194,0.4204401893693736,0.3826395075048272,0.352111224244421,0.2907060415324817
freezing,solidification,25.05,1.399,chemistry,0.4171311222199693,0.4295487844512383,0.38658649438790754,0.343745918451141,0.35278949051364555,0.36627021353505324,0.39649714878042286,0.41193668122416227,0.4207529566712799,0.42352492584982593,0.4288682689761035,0.4311274178668605,0.42309190461308516,0.4193062432721699,0.42363399393808615,0.40346023878357296,0.3975830369972212,0.3690560247228103,0.3448336835159952,0.30718471207417886,0.2887316933223885,0.3034333964628684,0.3337540347873832,0.3529668995451222,0.3580096043362746,0.3710575077600188,0.36771207997229877,0.37817227790869057,0.3571573743208114,0.34983733254290134,0.30184146974060655,0.2313495887686472
muscle,muscular tissue,236.46,2.374,anatomy,0.3527321770395666,0.3835441918278455,0.36161939900351286,0.28012951723902235,0.2983582270923384,0.2502528290468443,0.2327535107479642,0.2143936463924524,0.20860828061280823,0.2224019551432692,0.21888975494924093,0.212968192804233,0.22175368405647122,0.22240542799807023,0.21401730556994647,0.21190956957989054,0.19414213730521612,0.20219232821510408,0.19686375969578732,0.2105880723217996,0.1760804338145956,0.17610468015885955,0.18394510480914905,0.18681877990708157,0.18362381591695448,0.20624968362421525,0.21870245662921922,0.2392273079718534,0.2738768258389443,0.2804440973678778,0.28613059209964986,0.2215934759801581
hurricane,tropical cyclone,23.3,1.367,phenomena,0.4370021767793085,0.4448041767421198,0.38130118449525974,0.32273406331831966,0.29970982291178616,0.2938825697119649,0.292169375999564,0.2853107272397424,0.28020134676678776,0.28168232389377124,0.2770484311884952,0.2769569549788839,0.28308986721940077,0.2697094228116847,0.2605680483572475,0.2502753358216709,0.2466408095159623,0.2350697996314957,0.2146378476075494,0.22533335503168367,0.18685730056909877,0.17880123129093722,0.17672183648839618,0.18684982076382445,0.1809969346714037,0.19477207288637716,0.20241700408646254,0.20186618080572066,0.20598797786200218,0.19479712152670142,0.17100090366843668,0.12469212107186639
deforestation,forest clearance,80.5,1.906,ecology,0.4268108490160757,0.4292164958688944,0.39149905685799247,0.3516641847724482,0.34337981427669484,0.3439234054009652,0.3536173433233887,0.34893851198231457,0.3524129698817151,0.34079473151512285,0.3501902364567222,0.35745658900051164,0.3627496084608469,0.36791895261616886,0.36744092311912463,0.37463911961828267,0.35976103256342773,0.34632984269086087,0.32752756778089676,0.3100817814787397,0.26227070216335246,0.24220310891347488,0.2723942631974766,0.2815841745429509,0.2860261237815763,0.2853522934163573,0.29332142889536544,0.289671065386475,0.2815971230026203,0.24713442736093505,0.2239703855466293,0.17555499371889377
star,celestial body,704.0,2.848,astronomy,0.41811164317944083,0.442533586857479,0.43097221662425506,0.38446277461520406,0.39603720755600197,0.38389032036681225,0.3984454459413732,0.41901686215673895,0.42651028900173515,0.42358235452804405,0.42950459832315213,0.42005348347547733,0.43065911139616664,0.42440462983317395,0.42245076406338533,0.42209442377317474,0.38850983748338264,0.3705013198060136,0.355301675444618,0.35382873027628026,0.33091996756517017,0.33722016605030325,0.37837051701936086,0.36979737873338614,0.3878548203899387,0.4021517989925402,0.40937314555857907,0.4068201933499641,0.4081866260455024,0.3768159519729788,0.36177179463040543,0.29557757068516843
pressure,atmospheric pressure,196.92,2.294,physics,0.20214308818696253,0.297047440282453,0.30727531020466936,0.30315052240492113,0.322957069647565,0.30627733973421156,0.3286387401261791,0.3586522872363878,0.35522405650141775,0.37555769553884993,0.3618368305366361,0.36484225096189127,0.36609435659551914,0.37019699460593114,0.3815962063228715,0.3634381709488662,0.3624460058791334,0.3406894664153494,0.31171957651887455,0.30078288903884026,0.2653457895743523,0.2633860329946446,0.2794852548934227,0.2785751739374609,0.3001373081363323,0.29880132167947604,0.300560962216861,0.29834905157084046,0.2938908285230418,0.27606906484205407,0.2449489564942098,0.19436952027489313
motion,locomotion,64.24,1.808,physics,0.41585232959200763,0.4258076209668603,0.38114879863173584,0.3339267602561654,0.3565519204750768,0.34206076922538725,0.35879891666705815,0.3560418200221459,0.3743214282691347,0.36476731352450664,0.37552360310276156,0.3788478719087986,0.37539651375982225,0.37979898016597285,0.36695469724631813,0.373750545909786,0.32778121374576374,0.31818331582900794,0.30534462323251044,0.295378027358973,0.27425622238899505,0.2761116934591686,0.2974467411390772,0.3132756403065585,0.3255123573081168,0.3412989772205767,0.3505578090247089,0.35568922888238563,0.3421220453223396,0.3253658141058937,0.28482129563795067,0.22364996480782967
nebula,interstellar cloud,96.34,1.984,astronomy,0.4232159544420183,0.4351433417472409,0.41370362092751256,0.3793445099504208,0.37837945858984656,0.3695025578524951,0.39181489255907587,0.4018538883103464,0.3989595794435118,0.4118711405609614,0.41296603844648355,0.4064588073184412,0.3927901575660919,0.3966818545323151,0.3866582780817675,0.37653587334069305,0.36403357486440235,0.3529879226380019,0.3241208751030576,0.32111284495012193,0.28216029516757146,0.24830511808765354,0.23154752880404073,0.21737446828400814,0.2174320820829223,0.21563168579728742,0.21522912784638742,0.21730639995421663,0.2263955502287251,0.20900388682407234,0.16831331904570948,0.12844672845841115
drought,aridity,89.35,1.951,phenomena,0.4244609401553948,0.4223661952777134,0.38823888801442674,0.34282784564400054,0.32194201575511455,0.3124957197165027,0.33325141401972813,0.3464771361076394,0.3394553414158926,0.3454477259850656,0.3515104763167567,0.3574566157711363,0.35267406993531947,0.3568960074725479,0.35697443992830263,0.3439553960609605,0.31462243412784396,0.293215578850901,0.2850313282436735,0.24986267378044744,0.22320047323788084,0.22549084430212413,0.22648280007651372,0.24415487874707886,0.23875920983993182,0.2500789177309815,0.2420891065159152,0.2482438580689094,0.23906243447676478,0.22625725595139154,0.18733741843454893,0.13953386394092177
protein,polypeptide,85.46,1.932,biology,0.34946785178695267,0.32470208090149666,0.2966779675509195,0.24386901786612136,0.25396860218219847,0.2739597319336803,0.29263743216213345,0.3169719048538423,0.322009404354307,0.3377913543391461,0.35261732663033374,0.35878659464787904,0.3534162925312654,0.3531445897837283,0.35400582687669824,0.34043947402538055,0.3374342343815175,0.31391540864064504,0.30051764917737905,0.26557750939681996,0.2491905131579059,0.251028137301853,0.24413497942016985,0.24689956283867442,0.27130505089098844,0.29044536302972307,0.299730597474009,0.29141120653400376,0.2860624462653595,0.25802192911088206,0.22904655335360813,0.19122972488055515
water,H2O,187.78,2.274,chemistry,0.43306582416912165,0.44503483977531794,0.4176873186349184,0.3381427805743027,0.3198942720961527,0.31376309921997253,0.31023125252258,0.3265700422986462,0.3163044481245374,0.32815554087381993,0.31774250048861785,0.32573715880573045,0.33185187116304005,0.3304123102634674,0.3247757819778492,0.3169190381440563,0.308781193059361,0.29654914781771874,0.2965189064658198,0.3154167875453745,0.27547502360118753,0.300096273064872,0.325726189854721,0.340858720568876,0.3628266007689369,0.3864012616017184,0.3880931991987586,0.3860642888074145,0.39004906184899035,0.3734225998262954,0.35876933190793014,0.29444534070249684
heat,thermal energy,147.33,2.168,physics,0.39224829364132663,0.41446369403484684,0.39960005749018135,0.35861647821581094,0.37724987889150696,0.3652555153596653,0.36948282547186656,0.36947979575052536,0.39771657387144893,0.40199662638015443,0.40066573204043143,0.4073674656965911,0.41341315902021725,0.402602513128113,0.39724523035589593,0.3906177725040103,0.3836443042923351,0.38426915316608873,0.3723413276275712,0.3682236660923086,0.3435270218472446,0.3467731954264306,0.3716536328030686,0.3753434882833228,0.3881172359806626,0.4086770493205181,0.3986452721307704,0.3991682062881668,0.3952583680506422,0.37298894052663584,0.34167746454181736,0.29280718071783707
aurora,polar lights,111.31,2.047,phenomena,0.40701343654303246,0.42359028752921246,0.41340407440570626,0.3676287747164417,0.36919106936163637,0.36291943627448775,0.36270042854581075,0.3775949396448804,0.3710444758968545,0.3815611210233006,0.3841610623353565,0.37544758062662253,0.36364135557727273,0.3522051433485014,0.33755126054780704,0.33251779429204176,0.3125275959551448,0.2854719402672795,0.2753560030739359,0.2555558923847522,0.24050712770753577,0.2424181599875404,0.25807446247485716,0.2671140489643034,0.2710106654797957,0.28338072583309504,0.2845083323812598,0.2902979328665459,0.2919653057697478,0.27944200124662955,0.2475682197439693,0.1790170609172324
species,taxon,119.75,2.078,biology,0.44204856881555277,0.441377177175476,0.4081876292881007,0.3471459583499321,0.3504899024171477,0.3399048055938412,0.34960713047969805,0.36398364399128635,0.3652910730268101,0.36864959915417084,0.3736806422682292,0.3817097397794278,0.3765179271086283,0.3526871628693331,0.35397605736270593,0.34529172073257663,0.32779776245406567,0.29958029504484285,0.2833533159171745,0.27407813535603087,0.23440398830274686,0.21786483163155798,0.239000477144865,0.2559874980291059,0.2549408666807662,0.2515148991924724,0.26185938541863957,0.25948251258928656,0.25760082085118,0.23783032522139463,0.21223287044629924,0.19947115890992695
mountain,geological uplift,35904.79,4.555,earth_science,0.44493786598340124,0.44195752584352843,0.43696037703036344,0.40421942601506566,0.41503173645691993,0.4121676973391517,0.4255411853229707,0.428188696007592,0.4442458928978933,0.43937988322582316,0.4587987985570628,0.4401408050436978,0.4579728444566238,0.4434067688275304,0.44199120324398855,0.43062560200755895,0.40593465452153465,0.39170654318903264,0.3647971275108023,0.3511355683248414,0.3254703571368872,0.3191009626653616,0.33012448578488446,0.33441048941874574,0.34935088388752766,0.36453717279406683,0.36605434475451043,0.3581737426163178,0.3472109282871388,0.3375658057279598,0.31257233478541496,0.24718537630065013
glacier,ice mass,48.04,1.682,earth_science,0.42791924535402137,0.42457780517779997,0.4035232479596832,0.3651142063528972,0.3757452380451303,0.38713145448746744,0.39470677330562165,0.3993831639764103,0.4043913015423549,0.3864686994023998,0.3947375329226628,0.40124860754008607,0.40575068843230927,0.40965698479623835,0.40292535996640255,0.38609753579627804,0.382388920420385,0.37435764467621047,0.3503067597297507,0.3357573440048491,0.31556678728847465,0.3104666395152206,0.33387772578772124,0.34798412568577464,0.3538476446729704,0.35607756590179745,0.3646790923772177,0.3653650594911118,0.3629022903198731,0.32673249925156644,0.29870950056561785,0.2548124502263879
plant,flora,32.62,1.513,biology,0.38229894791231245,0.37675118736329644,0.3461909477847199,0.29588360427938054,0.3097308007658044,0.3285017179836796,0.34024007082826174,0.3690584726765254,0.3742332273180898,0.37068361487027185,0.3810540869065806,0.3799210053745224,0.3891130983565094,0.3899141808867247,0.4049740970053369,0.3927614078615431,0.3779763412607102,0.3537397552139977,0.3408994887718403,0.32448639092559606,0.295041009833768,0.31475422608300135,0.32865775766632643,0.34403134892029447,0.3411816979227197,0.3656454778966032,0.37768964463664945,0.36599875957506767,0.3637109091877374,0.32793797808950276,0.30587986507795484,0.2594728465367398
brain,cerebrum,335.33,2.525,anatomy,0.43461671456118,0.443481122003606,0.41264147585877886,0.3424375530077175,0.34086918611103983,0.33061239285613203,0.3302655501913317,0.34198504437330896,0.3281195151455961,0.33224818992525407,0.3376263196260415,0.3389557344455588,0.33034688797099365,0.3340845872297764,0.3476283326923531,0.3284063509639734,0.3299030084109213,0.3180904782784788,0.30834493670110263,0.3115253334815056,0.290616998630707,0.30730131902991975,0.33230940491765376,0.3419301530677583,0.3611968040219136,0.3788993797046949,0.3913642183584827,0.41338416096689834,0.4132573559687117,0.3875826199264173,0.36743905591925696,0.2961304028956876
planet,planetary body,1478.05,3.17,astronomy,0.37851054150183244,0.41968052240038767,0.41019305983149545,0.36532946515290665,0.366156096818745,0.34788031301319333,0.3473902841379274,0.350847510287655,0.3525538055207135,0.36581797020565854,0.37140674116303474,0.37000836902725937,0.37598114845926234,0.37591920245783733,0.35089010868989673,0.3405801299915198,0.32132275441556674,0.33411162426081953,0.3281991426342972,0.3073812113747285,0.26855750275461465,0.2472456225823715,0.2561201052150711,0.2565692362801666,0.2603685901258207,0.2687612995523976,0.2777509822445132,0.29239817685486336,0.28305008516704006,0.25560078784192364,0.2373980388508842,0.194024385404935
salt,sodium chloride,98.47,1.993,chemistry,0.38923498420659497,0.4218534061924324,0.41346566182853683,0.3604864473730255,0.3570270778216754,0.3419546974211811,0.34943453736197083,0.3519892420807437,0.3456581322093541,0.3618313498752766,0.3638604891979669,0.3600262902168409,0.3623630350067207,0.37700021256315774,0.3724673098540735,0.35307862700047765,0.339706191692588,0.3285253274469698,0.31972947124213413,0.3166722383988173,0.2813520356115281,0.2954440420860929,0.3157080770566473,0.3216731076224604,0.33677804229379915,0.3427778370125498,0.3524315625272237,0.36195351641720075,0.35215377498780526,0.32895914473471083,0.3145956977796066,0.24771768060761234
DNA,deoxyribonucleic acid,406.32,2.609,biology,0.4330721730256726,0.4497028866453514,0.4336729187721025,0.3715997550447034,0.374868451807904,0.3440316134303331,0.3219508697248791,0.32215760705133406,0.29847021039875443,0.3033914092118325,0.2915842904497177,0.29539144890932056,0.30698509240286864,0.3078644674681068,0.2939520791203477,0.301906175919584,0.27977516846562345,0.2873746621134887,0.27952327420904266,0.2807482300768839,0.25196509399967726,0.22094547631359998,0.21375820868684609,0.21097368020938218,0.22760027820754772,0.23526134285623118,0.24650493779822014,0.23558867284336077,0.24499469337181148,0.2405734580475881,0.19998800967325675,0.1697772050029921
