condition,ablate_layer,ablate_mode,rank,direction_type,layer,ablated_auroc,clean_auroc,auroc_drop,cosine_dist,euclidean_dist,output_kl
single_svd_k2,0,single,2,svd,31,0.8121126033057852,0.9190340909090909,0.10692148760330578,0.006290981063943879,41.67267608642578,1.0639631748199463
single_svd_k4,0,single,4,svd,0,0.899922520661157,0.899922520661157,0.0,0.00441990429886574,4.580940246582031,2.0555524826049805
single_svd_k4,0,single,4,svd,1,0.684271694214876,0.9309142561983471,0.24664256198347112,0.0031294151706849904,4.806543827056885,2.0555524826049805
single_svd_k4,0,single,4,svd,2,0.7107438016528926,0.9482179752066116,0.23747417355371891,0.002809469591575242,6.616148948669434,2.0555524826049805
single_svd_k4,0,single,4,svd,3,0.7537448347107438,0.9511880165289256,0.19744318181818177,0.002845923793768912,8.440866470336914,2.0555524826049805
single_svd_k4,0,single,4,svd,4,0.6796229338842976,0.9595816115702479,0.2799586776859503,0.0007166044116120318,11.454570770263672,2.0555524826049805
single_svd_k4,0,single,4,svd,5,0.6880165289256199,0.9639721074380165,0.2759555785123966,0.0004768316431754682,8.597826957702637,2.0555524826049805
single_svd_k4,0,single,4,svd,6,0.7079028925619835,0.9682334710743803,0.2603305785123968,0.00047001279718261735,8.43171215057373,2.0555524826049805
single_svd_k4,0,single,4,svd,7,0.709581611570248,0.9706869834710745,0.2611053719008265,0.0004807261822482589,8.483863830566406,2.0555524826049805
single_svd_k4,0,single,4,svd,8,0.702995867768595,0.9730113636363638,0.27001549586776874,0.00048800048299468823,8.798624038696289,2.0555524826049805
single_svd_k4,0,single,4,svd,9,0.715650826446281,0.975335743801653,0.259684917355372,0.00046002401679157146,9.204841613769531,2.0555524826049805
single_svd_k4,0,single,4,svd,10,0.7008006198347108,0.9748192148760331,0.2740185950413223,0.00045009977167786985,9.455802917480469,2.0555524826049805
single_svd_k4,0,single,4,svd,11,0.7183626033057852,0.9744318181818182,0.25606921487603307,0.00047840758865169697,9.83028507232666,2.0555524826049805
single_svd_k4,0,single,4,svd,12,0.7129390495867769,0.9739152892561984,0.2609762396694215,0.0004986372985793519,10.299245834350586,2.0555524826049805
single_svd_k4,0,single,4,svd,13,0.7297262396694215,0.9728822314049588,0.24315599173553726,0.00048818587996035667,10.59720230102539,2.0555524826049805
single_svd_k4,0,single,4,svd,14,0.8132747933884298,0.9715909090909091,0.15831611570247928,0.0004728989300194497,11.188016891479492,2.0555524826049805
single_svd_k4,0,single,4,svd,15,0.7806043388429753,0.9699121900826446,0.1893078512396693,0.0004389552293808663,11.743473052978516,2.0555524826049805
single_svd_k4,0,single,4,svd,16,0.7979080578512396,0.9700413223140496,0.17213326446280997,0.0003866188368250034,11.998037338256836,2.0555524826049805
single_svd_k4,0,single,4,svd,17,0.7740185950413223,0.9683626033057852,0.19434400826446285,0.0003461026449927962,12.144073486328125,2.0555524826049805
single_svd_k4,0,single,4,svd,18,0.7784090909090909,0.9661673553719008,0.18775826446280985,0.0003135408470028578,12.433341979980469,2.0555524826049805
single_svd_k4,0,single,4,svd,19,0.7583935950413223,0.9608729338842975,0.2024793388429752,0.00030071046335244933,12.978400230407715,2.0555524826049805
