high_freq_ngram,low_freq_ngram,frequency_ratio,log_ratio,category,jsd_layer_0,jsd_layer_1,jsd_layer_2,jsd_layer_3,jsd_layer_4,jsd_layer_5
sick,ailing,33.96,-1,physical_states,0.5105880747578875,0.4828074364870753,0.403529166198616,0.2254896443899282,0.19256629768079758,0.1937473535667824
proud,haughty,124.85,-1,personality_traits,0.5974304551885656,0.5223767669345891,0.3683029496029848,0.22041014441876244,0.2069532074400397,0.1653621359354221
glad,gratified,109.71,-1,positive_emotions,0.570976631787102,0.45684591843398703,0.2988545135899898,0.18826102320656907,0.14845708908218808,0.12710525126987005
sad,melancholic,87.67,-1,negative_emotions,0.49244839431743437,0.4249370635618293,0.3039807024424823,0.19955814774090502,0.11992491910793304,0.09413182908189138
stubborn,obstinate,15.19,-1,personality_traits,0.5586442864256227,0.5491603144438861,0.31590946493691446,0.20125028743689288,0.13596511906742698,0.1790875355759481
happy,elated,148.95,-1,positive_emotions,0.5766778567327704,0.5510724179069959,0.3885416466056875,0.29381775973839885,0.20452409657025394,0.12775721852426478
very,exceedingly,362.23,-1,intensity,0.32047381772721717,0.2491002454778103,0.18811894728840384,0.12182970832306197,0.10065010464849729,0.07563212632577326
brave,valiant,12.35,-1,personality_traits,0.4281843714999107,0.5218176519840905,0.3247666140960698,0.2293729262608921,0.16107807070059849,0.10725742492146359
strong,vigorous,55.54,-1,physical_states,0.4311823766881425,0.27015592542789824,0.1950877877626213,0.09881136653922079,0.0940295533769015,0.09266517399612305
great,superb,41.33,-1,evaluative,0.38367787435796086,0.2461060092531783,0.1797806842223927,0.14484837446404214,0.10020544145300861,0.06234505706440181
slightly,marginally,29.7,-1,intensity,0.2987777436328897,0.3167289952722828,0.1994740405135102,0.12099726032131353,0.12818951433044434,0.1050271744625092
curious,inquisitive,23.02,-1,cognitive_states,0.49943671341473084,0.5358801425396703,0.35625514416511533,0.24146547668190954,0.13605135274384145,0.09175237008588683
grateful,appreciative,11.38,-1,social_emotions,0.45417299789413057,0.4030976195200513,0.29440573499978906,0.2002797619347585,0.13396045625828495,0.09344842456196654
rejected,spurned,51.19,-1,social_emotions,0.5693796497405348,0.4493037227747651,0.30418972681361744,0.19450955081186758,0.17965200278957938,0.12770950822555055
clever,shrewd,12.35,-1,personality_traits,0.6170020391674472,0.5529697635175432,0.36961451541469015,0.19841328981848733,0.12227850251896978,0.1155300042839341
pleased,contented,30.2,-1,positive_emotions,0.5742980206906797,0.5003288416536146,0.3430849765527728,0.19216422117505336,0.16323019897600322,0.10689455993552403
joyful,jubilant,10.3,-1,positive_emotions,0.496794494802304,0.46031229442048816,0.29911473195578997,0.1985849253742407,0.13175092919819975,0.0970872827688254
bitter,resentful,13.26,-1,negative_emotions,0.4966239162710608,0.3780187916046883,0.2680761056082975,0.18133324370709092,0.15640071467448186,0.11665215332538056
delighted,overjoyed,13.46,-1,positive_emotions,0.573546255514959,0.5155941268575648,0.36928442586597704,0.2605544003201838,0.16172405048014762,0.1017469166834544
frustrated,exasperated,17.6,-1,negative_emotions,0.5618467315719998,0.5118815748346319,0.2645230320146003,0.17856603971232893,0.12901488145152004,0.08357035921090158
weak,feeble,56.16,-1,physical_states,0.5045995927019249,0.4297132890991081,0.2880783721007477,0.2074570951361705,0.16900455249292226,0.10695874751127692
lazy,indolent,47.41,-1,personality_traits,0.5806466194891192,0.5733461912303796,0.4110584946799258,0.30552680159073253,0.19173038427562655,0.1458358713018398
embarrassed,mortified,11.93,-1,social_emotions,0.5253152434237871,0.3695439886353292,0.217390975186233,0.14994944277439198,0.09894497951839713,0.08920374152339902
energetic,vivacious,20.67,-1,physical_states,0.4447011729518227,0.4538396604309233,0.2872137808861775,0.24195030659655054,0.19297675359156258,0.16355061447036323
upset,distraught,21.44,-1,negative_emotions,0.48317934220723646,0.5658084439194113,0.3820115611782041,0.22199088265221284,0.1666717401614581,0.12143614043250205
worried,apprehensive,21.81,-1,negative_emotions,0.617816830824461,0.39447070290079533,0.22825212651394067,0.14628413940518814,0.10308488787491614,0.09127503405297577
awkward,discomfited,273.8,-1,social_emotions,0.5863721041309511,0.5415511597043521,0.35376840631183637,0.289077237608515,0.2139577766665971,0.15310997488051925
interested,intrigued,22.46,-1,cognitive_states,0.3076186590760656,0.1850950023559655,0.128599115623712,0.08905841669716244,0.1086068675740759,0.09235470536746772
really,remarkably,118.26,-1,intensity,0.42018989665925643,0.3862520011879171,0.2913563236422272,0.19365698039687912,0.15852980640684838,0.16487989123449298
shy,diffident,105.64,-1,personality_traits,0.46933947125496667,0.5417358141865569,0.3602859925708142,0.24314650853413472,0.24176288659202408,0.19570306139481325
ashamed,abashed,58.71,-1,social_emotions,0.4675255018362885,0.5059996308620166,0.29931330802611333,0.2222037025269873,0.1706761919186105,0.11920694042198082
bold,audacious,27.22,-1,personality_traits,0.4403969137693038,0.4010232906998752,0.26861914914761004,0.1836372292480971,0.1384438587271031,0.14127489145369032
