condition,pct,seed,dataset,layer,n_ablated_per_layer,freq_auroc,freq_auroc_std,freq_accuracy
circuit_pos,50.0,0,emotion,11,4096,0.9780718336483932,0.0038924877659686206,0.9304347826086955
circuit_pos,50.0,0,emotion,12,4096,0.9742911153119094,0.0063937748677836345,0.9260869565217391
circuit_pos,50.0,0,emotion,13,4096,0.963327032136106,0.009756890662052122,0.9086956521739131
circuit_pos,50.0,0,emotion,14,4096,0.9482041587901702,0.017432350674326653,0.8782608695652174
circuit_pos,50.0,0,emotion,15,4096,0.9073724007561438,0.010626441831799765,0.7956521739130435
circuit_neg,5.0,0,emotion,0,409,0.9716446124763705,0.011151516978262879,0.9304347826086955
circuit_neg,5.0,0,emotion,1,409,0.9742911153119092,0.010799891763391887,0.9130434782608695
circuit_neg,5.0,0,emotion,2,409,0.975803402646503,0.006909514889412871,0.917391304347826
circuit_neg,5.0,0,emotion,3,409,0.9758034026465028,0.008055680813861042,0.9217391304347826
circuit_neg,5.0,0,emotion,4,409,0.9814744801512287,0.006909514889412917,0.9217391304347826
circuit_neg,5.0,0,emotion,5,409,0.980718336483932,0.008143916532528548,0.9304347826086957
circuit_neg,5.0,0,emotion,6,409,0.9780718336483932,0.007232940064162188,0.9347826086956521
circuit_neg,5.0,0,emotion,7,409,0.9765595463137997,0.007984390201112584,0.9391304347826088
circuit_neg,5.0,0,emotion,8,409,0.9792060491493384,0.00560771152143338,0.9521739130434783
circuit_neg,5.0,0,emotion,9,409,0.9799621928166351,0.004409037349599469,0.9260869565217392
circuit_neg,5.0,0,emotion,10,409,0.9810964083175804,0.007272356923127168,0.9217391304347826
circuit_neg,5.0,0,emotion,11,409,0.982608695652174,0.0030245746691871436,0.9260869565217391
circuit_neg,5.0,0,emotion,12,409,0.9803402646502836,0.003506093949147704,0.9347826086956521
circuit_neg,5.0,0,emotion,13,409,0.9769376181474481,0.006371379790681574,0.9217391304347826
circuit_neg,5.0,0,emotion,14,409,0.9724007561436674,0.0037043323142278563,0.8956521739130434
circuit_neg,5.0,0,emotion,15,409,0.9550094517958412,0.018304300093626005,0.8608695652173914
circuit_neg,10.0,0,emotion,0,819,0.9716446124763705,0.011151516978262879,0.9304347826086955
circuit_neg,10.0,0,emotion,1,819,0.9742911153119092,0.010799891763391887,0.9130434782608695
circuit_neg,10.0,0,emotion,2,819,0.975803402646503,0.006909514889412871,0.917391304347826
circuit_neg,10.0,0,emotion,3,819,0.9758034026465028,0.008055680813861042,0.9217391304347826
circuit_neg,10.0,0,emotion,4,819,0.9814744801512287,0.006909514889412917,0.9217391304347826
circuit_neg,10.0,0,emotion,5,819,0.980718336483932,0.008143916532528548,0.9304347826086957
circuit_neg,10.0,0,emotion,6,819,0.9780718336483932,0.007232940064162188,0.9347826086956521
circuit_neg,10.0,0,emotion,7,819,0.9765595463137997,0.007984390201112584,0.9391304347826088
circuit_neg,10.0,0,emotion,8,819,0.9792060491493384,0.00560771152143338,0.9521739130434783
circuit_neg,10.0,0,emotion,9,819,0.9799621928166351,0.004409037349599469,0.9260869565217392
circuit_neg,10.0,0,emotion,10,819,0.9810964083175804,0.007272356923127168,0.9217391304347826
circuit_neg,10.0,0,emotion,11,819,0.9833648393194707,0.0030245746691871353,0.9260869565217391
circuit_neg,10.0,0,emotion,12,819,0.982608695652174,0.0022045186747997564,0.9304347826086955
circuit_neg,10.0,0,emotion,13,819,0.9799621928166353,0.006826264682520929,0.9217391304347826
circuit_neg,10.0,0,emotion,14,819,0.9780718336483932,0.005683665927551207,0.8956521739130434
circuit_neg,10.0,0,emotion,15,819,0.958790170132325,0.015282709210894344,0.8652173913043478
circuit_neg,25.0,0,emotion,0,2048,0.9716446124763705,0.011151516978262879,0.9304347826086955
circuit_neg,25.0,0,emotion,1,2048,0.9742911153119092,0.010799891763391887,0.9130434782608695
circuit_neg,25.0,0,emotion,2,2048,0.975803402646503,0.006909514889412871,0.917391304347826
circuit_neg,25.0,0,emotion,3,2048,0.9758034026465028,0.008055680813861042,0.9217391304347826
circuit_neg,25.0,0,emotion,4,2048,0.9814744801512287,0.006909514889412917,0.9217391304347826
circuit_neg,25.0,0,emotion,5,2048,0.980718336483932,0.008143916532528548,0.9304347826086957
circuit_neg,25.0,0,emotion,6,2048,0.9780718336483932,0.007232940064162188,0.9347826086956521
circuit_neg,25.0,0,emotion,7,2048,0.9765595463137997,0.007984390201112584,0.9391304347826088
circuit_neg,25.0,0,emotion,8,2048,0.9792060491493384,0.00560771152143338,0.9521739130434783
circuit_neg,25.0,0,emotion,9,2048,0.9799621928166351,0.004409037349599469,0.9260869565217392
circuit_neg,25.0,0,emotion,10,2048,0.9810964083175804,0.007272356923127168,0.9217391304347826
circuit_neg,25.0,0,emotion,11,2048,0.9871455576559546,0.003855591314625935,0.9260869565217391
circuit_neg,25.0,0,emotion,12,2048,0.9860113421550094,0.0009260830785569669,0.9347826086956521
circuit_neg,25.0,0,emotion,13,2048,0.9833648393194707,0.009368250807836586,0.9217391304347826
circuit_neg,25.0,0,emotion,14,2048,0.9814744801512287,0.006805293005671061,0.9
circuit_neg,25.0,0,emotion,15,2048,0.9655954631379963,0.011367331855102424,0.8695652173913043
circuit_neg,50.0,0,emotion,0,4096,0.9716446124763705,0.011151516978262879,0.9304347826086955
circuit_neg,50.0,0,emotion,1,4096,0.9742911153119092,0.010799891763391887,0.9130434782608695
