high_freq_ngram,low_freq_ngram,frequency_ratio,log_ratio,category,jsd_layer_0,jsd_layer_1,jsd_layer_2,jsd_layer_3,jsd_layer_4,jsd_layer_5,jsd_layer_6,jsd_layer_7,jsd_layer_8,jsd_layer_9,jsd_layer_10,jsd_layer_11,jsd_layer_12,jsd_layer_13,jsd_layer_14,jsd_layer_15
barely,scarcely,11.24,-1,intensity,0.1973640252509203,0.16710972336786728,0.16717720097369054,0.15673003385629308,0.1348698227654146,0.12699194453183826,0.12258380926820919,0.12204328147175289,0.1333753879915945,0.14046907259513908,0.12829018155254035,0.12308724493059059,0.11096115872586543,0.10235463674469117,0.08815568092231453,0.08976871613802322
perfect,flawless,42.24,-1,evaluative,0.405412309816806,0.3519693027866593,0.32786561670669023,0.2901052381769065,0.27655396126174037,0.266823460880214,0.2412503983499401,0.26208606720716765,0.2555077131226036,0.24415879552665248,0.21738428829938664,0.23040093673903833,0.20291164865107356,0.16034540863911856,0.12655599317124616,0.10308174882690149
smart,astute,70.85,-1,personality_traits,0.43107708988244847,0.39468694047202446,0.35401183911359435,0.28616537151150634,0.26839914748073845,0.23316559922215277,0.21570122744990655,0.2107078330679069,0.20478710338928602,0.20221366724398537,0.19679192367256226,0.17927142688940575,0.1723775195458067,0.15631126944878682,0.17375328784411015,0.15254759282429547
confused,bewildered,23.3,-1,cognitive_states,0.38831371464546305,0.30991462558127547,0.2040817296672008,0.14700170366457954,0.11264546195905767,0.1114425462732288,0.09135969405982791,0.08298534824532927,0.0794941033068811,0.07020137085650893,0.06843151324115175,0.058062833727882325,0.06126548009422083,0.0529922038348875,0.0600299390753565,0.05179542416602524
guilty,remorseful,77.37,-1,social_emotions,0.4199848563026354,0.3728870282171781,0.33863099736719005,0.2869447712017936,0.27961652700938333,0.26487925762454456,0.2665420304469713,0.26852753960974035,0.26100715713760136,0.23369286799679673,0.20742882032620408,0.19216991473366546,0.17456452682692122,0.14995182437473836,0.15018749129090359,0.1211338179542038
bad,dreadful,78.86,-1,evaluative,0.30915878016799864,0.2604424513520559,0.20534934155525947,0.166090930854044,0.1647443861281031,0.15189383148854557,0.12881629629658137,0.12671280669038232,0.10951438142847982,0.11804230467251495,0.11034608485504113,0.11205230983410434,0.0958709479838768,0.0915634069462184,0.09641577854150066,0.09370734476644008
extremely,extraordinarily,30.29,-1,intensity,0.237542677996203,0.21603411070722023,0.191576325526775,0.17538050388902324,0.18576365270155287,0.16485119217593402,0.15258782117358383,0.13225597636029152,0.11643714301246558,0.11324438754865221,0.10292501854082338,0.09577991393700658,0.08100054680095702,0.07027181340189234,0.062150264423367026,0.05645485743600051
terrible,atrocious,25.15,-1,evaluative,0.39119393520500995,0.3180834935056378,0.23490519938104387,0.15349723132070425,0.11725034829815659,0.09589373491033967,0.08839070939948944,0.08028794556987767,0.06932364679391667,0.06255442845808828,0.06221317477222095,0.06430628425697178,0.057596004798152876,0.05179331796844039,0.04898599855899511,0.04444615242385995
lonely,forlorn,15.19,-1,social_emotions,0.4286768267412623,0.3904397325350283,0.33673478755880987,0.27641820223326924,0.2528138730451994,0.22107813362874057,0.21358525326366173,0.20481933988256606,0.19185922400257266,0.18053647812394702,0.15643083352682974,0.1394700475904707,0.11281111848821355,0.0881793088001494,0.07973352677161127,0.06369968650602917
sick,ailing,33.96,-1,physical_states,0.42234693403419155,0.3932517079746084,0.3477799062213055,0.2978375752856526,0.2321234741859967,0.22069097898571122,0.22440628144974983,0.2251127457516954,0.22440046032519245,0.20698484376242887,0.19366645486159503,0.1985582233624174,0.17480985319184375,0.15271317440462195,0.15555215921101073,0.12911001621745163
proud,haughty,124.85,-1,personality_traits,0.439113214539107,0.41694132038731335,0.3973199188216569,0.33737453194459416,0.3137130318881482,0.2791590042341415,0.29308119120934195,0.297502397333751,0.28611987452399545,0.2685019436451981,0.23157674810371998,0.21497925464899453,0.19577830201458352,0.1780799967249634,0.17136810561255247,0.13891554154803015
glad,gratified,109.71,-1,positive_emotions,0.39805771410836344,0.3419845619873268,0.31423146889146886,0.2658939897196037,0.2669143128382294,0.2562361565004363,0.25866871795140367,0.26567084933160723,0.24615877333351693,0.22052582758343373,0.18685962529148323,0.18113330498105812,0.17150359853079056,0.1636849111877431,0.16557247412033443,0.15144166172855164
sad,melancholic,87.67,-1,negative_emotions,0.4007103458858411,0.3814365790913856,0.32913927771233925,0.2729671698566569,0.2298965969597911,0.2139785618021247,0.17864882682295824,0.18792024884379485,0.17797734182983227,0.1532761020399693,0.1446477173310045,0.13030893306421296,0.1247468864651203,0.10867367617763768,0.10792541438695119,0.09634322983569504
