high_freq_ngram,low_freq_ngram,frequency_ratio,log_ratio,category,jsd_layer_0,jsd_layer_1,jsd_layer_2,jsd_layer_3,jsd_layer_4,jsd_layer_5,jsd_layer_6,jsd_layer_7,jsd_layer_8,jsd_layer_9,jsd_layer_10,jsd_layer_11,jsd_layer_12,jsd_layer_13,jsd_layer_14,jsd_layer_15
vomiting,emesis,48.4,-1,symptoms,0.43061163302381544,0.407442750198157,0.3795512473144296,0.308214290616922,0.28678591663106395,0.25436830059912685,0.23807872801519314,0.23459019090215846,0.22843382104453078,0.20614542962375426,0.1810915218989425,0.16788153142661436,0.1387615424104905,0.10851438254683934,0.09987941762647118,0.09115143538683161
liposuction,lipoplasty,84.68,-1,procedures,0.34339597329154714,0.3108266602180247,0.31613127888112896,0.2460231069142998,0.21377404697720404,0.17868035074491814,0.1790987843958505,0.17417806164825766,0.1596432811090097,0.14482869967582318,0.13498340524389704,0.1231552539934162,0.097698333300085,0.08094353420069067,0.06879142529769466,0.048805543263022624
itching,pruritus,10.72,-1,symptoms,0.4439545954024692,0.43279512921482777,0.37373830483690706,0.30204002541970487,0.2346573668865929,0.20859280975748806,0.20327594441524455,0.20193105675053374,0.1877047613514263,0.17917509735414872,0.16951170754580502,0.17118066093119494,0.14955968373129647,0.1215380623317325,0.11844294554881105,0.1015231695261789
sleepwalking,somnambulism,10.91,-1,mental,0.4412785438073717,0.4357738781097123,0.4134441072254538,0.353056572208178,0.3017627755096668,0.294354204093857,0.2667359162888602,0.2525726568267711,0.24732196260481593,0.22704956315410163,0.21500267661497707,0.19959263297381186,0.14707243354986899,0.13275147050424616,0.11927315215080943,0.09279302561516298
measles,rubeola,199.22,-1,diseases,0.4384245808672088,0.4411570469126145,0.42433962456532665,0.3907282790628689,0.3734430294263519,0.3357264569009981,0.3358725609411183,0.3400427144081446,0.3426653597064541,0.2925757671712492,0.27358576229919485,0.2604662719891716,0.22503601246153077,0.1963339097104087,0.20528201835903304,0.16224200758505591
spine,vertebral column,85.12,-1,anatomy,0.4007480237998848,0.4207914793138431,0.36451713896586424,0.2934401598050974,0.2773202043552232,0.25082696009440886,0.2342223661719321,0.2211459721529268,0.22317846193848492,0.20061012389381883,0.1808603927644242,0.1721750955532965,0.1494970894097219,0.11517520009690951,0.10908776706715506,0.0777607725794959
steroid,corticosteroid,17.55,-1,medications,0.35924115179422933,0.3480454755757951,0.2881814757329326,0.2000618050302829,0.15954485124829418,0.12914668160397919,0.12425358732703046,0.12026024421374294,0.1075847734856416,0.10527780055285188,0.09763684373687675,0.09219644917901054,0.08705092892891961,0.06144963456884302,0.05413775594450787,0.04024925421005779
mono,infectious mononucleosis,84.92,-1,diseases,0.42703867804487017,0.4354910131454374,0.4164537217192207,0.3675437769016048,0.35333781711269174,0.3472431228290134,0.3550543802040126,0.3531397201969997,0.36560630510303727,0.32632832003184614,0.2993388753808211,0.269570020838047,0.2297749592351963,0.2135538844958659,0.21079541919869574,0.17179685286056484
antacid,acid neutralizer,40.38,-1,medications,0.4189566491454902,0.4315180720239308,0.42199527121183944,0.36973393002115895,0.3788358138109687,0.35893193052874406,0.3835248366272703,0.36015775231273994,0.32118685530286656,0.29160041280570625,0.25719878888054,0.23554367469065474,0.21828899042615607,0.16024381276302369,0.1604001016916245,0.1316328420879962
stroke,cerebrovascular accident,337.71,-1,diseases,0.3902790960757442,0.401292383132173,0.3745738776665894,0.30548667365974735,0.2728542396294401,0.22848218290543926,0.22316870597285537,0.23709682446343822,0.23591102076017859,0.23288564326642325,0.22825114986485345,0.23531681223945772,0.2119718913336749,0.18110012560070451,0.16968656517925235,0.14385237954661612
nail biting,onychophagia,45.14,-1,mental,0.44067291071971043,0.426168141263495,0.40948941771073827,0.35712675008642053,0.3249304159136044,0.28864367762534343,0.30214200302082,0.30347772577154086,0.2731701220134344,0.24828939924790594,0.23251744413711262,0.20320077273226295,0.19505090453078683,0.17020433725437312,0.16768031546984702,0.13165552308194112
tumor,neoplasm,53.79,-1,diseases,0.41850638720114675,0.39818089036609805,0.3319490805204204,0.2638495368966739,0.20473411506727612,0.18059588537176868,0.19769661040292016,0.18089864096056102,0.16637890143180115,0.15888251845151052,0.12453515387036437,0.11677066379713938,0.10387849933203991,0.07748452251084065,0.06512199829851566,0.05232448680657362
breast reduction,reduction mammoplasty,21.1,-1,procedures,0.3995607128006077,0.4001863016039991,0.3911883181724532,0.307570180171711,0.28729734119330785,0.27418316335053516,0.2684728151634038,0.27242433419923084,0.24502867785518645,0.237735128582367,0.22468962816195437,0.20856541646955173,0.19343567490024371,0.1679470335801509,0.1515927672849031,0.12169767111338134
headache,cephalalgia,848.3,-1,symptoms,0.3984259221184739,0.40020874706977216,0.38153765151639296,0.341378190202135,0.30074155876746866,0.27599153215267064,0.26782971902683517,0.24302925628608693,0.22484565427653352,0.20707951587791534,0.17890924161285185,0.17846129892776838,0.14607891739104045,0.12893069312663774,0.11874741878142206,0.0915027839166884
