high_freq_ngram,low_freq_ngram,frequency_ratio,log_ratio,category,jsd_layer_0,jsd_layer_1,jsd_layer_2,jsd_layer_3,jsd_layer_4,jsd_layer_5
asteroid,minor planet,84.42,1.926,astronomy,0.37319159160324,0.41465682188839487,0.29190900104446915,0.24223051147985786,0.13863283854399078,0.0
nerve,neural pathway,482.36,2.683,anatomy,0.4952118976384978,0.4629761925877362,0.32878573576064196,0.271558274587279,0.23171824460150237,0.0
rock,geological formation,1411.21,3.15,earth_science,0.5655618455355891,0.46977817249904663,0.3768619991872272,0.3143268030741566,0.21448579296006293,0.0
melting,liquefaction,18.83,1.275,chemistry,0.5427656370951675,0.49035308449165643,0.28409906663518797,0.26361878369596486,0.1734710149913969,0.0
moon,natural satellite,727.64,2.862,astronomy,0.41370708083804664,0.4677883727538523,0.2994420946240439,0.22060870527896714,0.16115541483128093,0.0
energy,kinetic energy,132.58,2.122,physics,0.0,0.2041298499406977,0.20444888887333623,0.16465408924059688,0.09360681155164696,0.0
blood,circulatory fluid,111994.85,5.049,anatomy,0.4446636599656806,0.46825911951175403,0.27145619867602144,0.22357659721265305,0.1691047283994169,0.0
light,electromagnetic radiation,733.86,2.866,physics,0.4537782108974026,0.3814491015427897,0.27135540890283616,0.24711427899468835,0.17647749811869579,0.0
freezing,solidification,25.05,1.399,chemistry,0.5126353876275909,0.5019375101918553,0.38008121929056443,0.25853918153892774,0.20796834867005598,0.0
muscle,muscular tissue,236.46,2.374,anatomy,0.4025783853007983,0.3979762671326026,0.2643036575605375,0.22179876928451614,0.10644254910248072,0.0
hurricane,tropical cyclone,23.3,1.367,phenomena,0.6206695345547233,0.5444947962384952,0.4008047299726899,0.27996407034546966,0.18784845482093065,0.0
deforestation,forest clearance,80.5,1.906,ecology,0.48926667267510504,0.44048887343688903,0.2672008984482092,0.2086498460963011,0.12871060245831908,0.0
star,celestial body,704.0,2.848,astronomy,0.5487452153896859,0.43236526261852126,0.3061415139558339,0.25888151603033027,0.14148881457351892,0.0
pressure,atmospheric pressure,196.92,2.294,physics,0.0,0.3360376634893881,0.20552336025066872,0.20084045940581335,0.06951746714414477,0.0
motion,locomotion,64.24,1.808,physics,0.4729084999477639,0.4788387551007398,0.27670038254642526,0.2567327650403914,0.1347311277018549,0.0
nebula,interstellar cloud,96.34,1.984,astronomy,0.5715723407381776,0.4522657365946163,0.3170204143048719,0.2381425393160702,0.13453578389735657,0.34657359002312604
drought,aridity,89.35,1.951,phenomena,0.4748539633278679,0.4472407357631242,0.29866158046949554,0.23175256611929912,0.14336389456216764,0.0
protein,polypeptide,85.46,1.932,biology,0.36175612216229297,0.24539551179836808,0.20054977686497538,0.11862986950101731,0.09252385645974921,0.0
water,H2O,187.78,2.274,chemistry,0.5923521817087705,0.547450165098439,0.36381590989380674,0.2817979513664558,0.21373606817502994,0.0
heat,thermal energy,147.33,2.168,physics,0.4306222916486405,0.3753012873787608,0.25618071234645423,0.23160777089144285,0.15619014291843572,0.0
aurora,polar lights,111.31,2.047,phenomena,0.5253690289878601,0.43151521292207196,0.31498778784347814,0.21034810937767653,0.18547352407009138,0.0
species,taxon,119.75,2.078,biology,0.623660115337056,0.49048562711568056,0.33383472300344974,0.249469438298395,0.18739414326436404,0.3465735900401261
mountain,geological uplift,35904.79,4.555,earth_science,0.5189588631221155,0.5072548811450059,0.3702944276086617,0.3207353395579326,0.2498463230474979,0.0
glacier,ice mass,48.04,1.682,earth_science,0.547379532574402,0.4339261297093843,0.33540637177012733,0.19549062704169362,0.12742482868712296,0.0
plant,flora,32.62,1.513,biology,0.4394127122053697,0.28053563987847646,0.25955993878456834,0.16107970110974734,0.1562891385244266,0.0
brain,cerebrum,335.33,2.525,anatomy,0.5811970237954827,0.5528196936190667,0.36136527781567745,0.2938405714677913,0.20117953923805443,0.0
planet,planetary body,1478.05,3.17,astronomy,0.5197912339343489,0.4030885998106741,0.26316051919118355,0.24188372251639734,0.10718846206969773,0.0
salt,sodium chloride,98.47,1.993,chemistry,0.41004969618459275,0.45332150300894225,0.30429453274410695,0.19786301787703262,0.14206176211018692,0.3465735900416261
DNA,deoxyribonucleic acid,406.32,2.609,biology,0.4946871986395006,0.46342138825933826,0.33161637219889234,0.27161357813237486,0.1522680623780741,0.0
climate,atmospheric conditions,231.34,2.364,earth_science,0.44829087093941955,0.4525589190698498,0.31199409398605016,0.276366361262442,0.14734592298773241,0.0
