condition,layer,n_ablated,ablate_layers,dataset,frequency_auroc,frequency_auroc_std,frequency_accuracy,semantic_auroc,semantic_auroc_std,semantic_accuracy,cosine_dist,euclidean_dist
random_5pct_seed0,8,2045,"11,12,13,14,15",emotion,0.9792060491493384,0.00560771152143338,0.9521739130434783,0.9681009163533835,0.013933776418277147,0.7554347826086956,0.04401525932208539,0.8461008667945862
random_5pct_seed0,9,2045,"11,12,13,14,15",emotion,0.9795841209829866,0.004691748070317906,0.9260869565217392,0.9639704730576442,0.017054338213593628,0.7336956521739131,0.041334214702691496,0.8692182898521423
random_5pct_seed0,10,2045,"11,12,13,14,15",emotion,0.9810964083175804,0.007272356923127168,0.9217391304347826,0.9555673036758563,0.024564740012216278,0.7228260869565217,0.05401096058541399,1.0288944244384766
random_5pct_seed0,11,2045,"11,12,13,14,15",emotion,0.9822306238185256,0.0028292305382033645,0.9304347826086957,0.9481134476817041,0.03407806026210088,0.7119565217391304,0.049860157855764364,1.0914523601531982
random_5pct_seed0,12,2045,"11,12,13,14,15",emotion,0.980718336483932,0.0025078448320267543,0.9260869565217391,0.9346647869674185,0.045122708985581766,0.7065217391304348,0.0495364459650931,1.1923154592514038
random_5pct_seed0,13,2045,"11,12,13,14,15",emotion,0.9761814744801512,0.006393774867783686,0.9043478260869564,0.9165981359649122,0.04872460986922012,0.673913043478261,0.043017533402228914,1.2777485847473145
random_5pct_seed0,14,2045,"11,12,13,14,15",emotion,0.9633270321361058,0.016505769340599667,0.8739130434782609,0.9073393118212196,0.05294887836191946,0.6902173913043479,0.03102156326177774,1.3338383436203003
random_5pct_seed0,15,2045,"11,12,13,14,15",emotion,0.9315689981096409,0.039677733828186554,0.8521739130434781,0.8900209508145364,0.048736497853011165,0.6684782608695652,0.005103880078006107,1.7336246967315674
random_5pct_seed1,0,2045,"11,12,13,14,15",emotion,0.9716446124763705,0.011151516978262879,0.9304347826086955,0.9320498511904761,0.026491605929006002,0.6358695652173914,0.1585475337723775,0.9354777932167053
random_5pct_seed1,1,2045,"11,12,13,14,15",emotion,0.9742911153119092,0.010799891763391887,0.9130434782608695,0.9435682304720133,0.027752338342758295,0.6467391304347826,0.140446353827282,0.8604445457458496
random_5pct_seed1,2,2045,"11,12,13,14,15",emotion,0.975803402646503,0.006909514889412871,0.917391304347826,0.9666722143901421,0.01504281277712539,0.7336956521739131,0.10406266056491786,0.8520116806030273
random_5pct_seed1,3,2045,"11,12,13,14,15",emotion,0.9758034026465028,0.008055680813861042,0.9217391304347826,0.9679850668337511,0.015116488401560393,0.7663043478260869,0.09625433377413528,0.7937939763069153
random_5pct_seed1,4,2045,"11,12,13,14,15",emotion,0.9814744801512287,0.006909514889412917,0.9217391304347826,0.9609162881161237,0.018710199558709974,0.7663043478260869,0.07220342293493698,0.7928792834281921
random_5pct_seed1,5,2045,"11,12,13,14,15",emotion,0.9810964083175804,0.008621364272961321,0.9304347826086957,0.9647324691938179,0.016508087682972197,0.7717391304347825,0.07167250901528399,0.7910804748535156
random_5pct_seed1,6,2045,"11,12,13,14,15",emotion,0.9780718336483932,0.007232940064162188,0.9347826086956521,0.963904226712615,0.01700352601760568,0.7554347826086957,0.06518419706613832,0.8277750611305237
random_5pct_seed1,7,2045,"11,12,13,14,15",emotion,0.9765595463137997,0.007984390201112584,0.9391304347826088,0.9702420112781954,0.01297583165189563,0.7445652173913044,0.059238200023692955,0.8209770321846008
random_5pct_seed1,8,2045,"11,12,13,14,15",emotion,0.9792060491493384,0.00560771152143338,0.9521739130434783,0.9681009163533835,0.013933776418277147,0.7554347826086956,0.04401525932208539,0.8461008667945862
random_5pct_seed1,9,2045,"11,12,13,14,15",emotion,0.9795841209829866,0.004691748070317906,0.9260869565217392,0.9639704730576442,0.017054338213593628,0.7336956521739131,0.041334214702691496,0.8692182898521423
random_5pct_seed1,10,2045,"11,12,13,14,15",emotion,0.9810964083175804,0.007272356923127168,0.9217391304347826,0.9555673036758563,0.024564740012216278,0.7228260869565217,0.05401096058541399,1.0288944244384766
random_5pct_seed1,11,2045,"11,12,13,14,15",emotion,0.9818525519848771,0.0028292305382033615,0.9304347826086957,0.948389854845447,0.03413408893038997,0.7065217391304347,0.049762725083766224,1.0890007019042969
random_5pct_seed1,12,2045,"11,12,13,14,15",emotion,0.9788279773156902,0.0025078448320267612,0.9260869565217391,0.9367207080200501,0.04402116379980261,0.7010869565217391,0.04967281572426363,1.190882682800293
random_5pct_seed1,13,2045,"11,12,13,14,15",emotion,0.9746691871455576,0.006049149338374299,0.9260869565217392,0.921812996031746,0.047306979121571155,0.6847826086956521,0.04452404348126371,1.2816635370254517
random_5pct_seed1,14,2045,"11,12,13,14,15",emotion,0.9689981096408318,0.01059950530727877,0.8869565217391304,0.9093315972222222,0.05056183988656897,0.6793478260869565,0.03250308675021463,1.3356691598892212
random_5pct_seed1,15,2045,"11,12,13,14,15",emotion,0.9395085066162571,0.027705211282512267,0.8565217391304347,0.8930617559523809,0.04590662373021207,0.6739130434782609,0.0052580084078439615,1.6926465034484863
random_5pct_seed2,0,2045,"11,12,13,14,15",emotion,0.9716446124763705,0.011151516978262879,0.9304347826086955,0.9320498511904761,0.026491605929006002,0.6358695652173914,0.1585475337723775,0.9354777932167053
random_5pct_seed2,1,2045,"11,12,13,14,15",emotion,0.9742911153119092,0.010799891763391887,0.9130434782608695,0.9435682304720133,0.027752338342758295,0.6467391304347826,0.140446353827282,0.8604445457458496
random_5pct_seed2,2,2045,"11,12,13,14,15",emotion,0.975803402646503,0.006909514889412871,0.917391304347826,0.9666722143901421,0.01504281277712539,0.7336956521739131,0.10406266056491786,0.8520116806030273
random_5pct_seed2,3,2045,"11,12,13,14,15",emotion,0.9758034026465028,0.008055680813861042,0.9217391304347826,0.9679850668337511,0.015116488401560393,0.7663043478260869,0.09625433377413528,0.7937939763069153
random_5pct_seed2,4,2045,"11,12,13,14,15",emotion,0.9814744801512287,0.006909514889412917,0.9217391304347826,0.9609162881161237,0.018710199558709974,0.7663043478260869,0.07220342293493698,0.7928792834281921
random_5pct_seed2,5,2045,"11,12,13,14,15",emotion,0.9810964083175804,0.008621364272961321,0.9304347826086957,0.9647324691938179,0.016508087682972197,0.7717391304347825,0.07167250901528399,0.7910804748535156
